Start Time Sub A (s),End Time Sub A (s),Delay Sub A (ms),Start Time Sub B,End Time Sub B,Delay Sub B (ms)
25.987,26.006,19,25.987,26.035,48
26.206,26.222,16,26.206,26.242,36
26.414,26.454,40,26.414,26.433,19
26.633,26.669,36,26.633,26.689,56
26.858,26.884,26,26.859,26.905,46
27.084,27.103,19,27.085,27.116,31
27.322,27.341,19,27.323,27.358,35
27.569,27.597,28,27.57,27.617,47
27.827,27.855,28,27.827,27.885,58
28.113,28.133,20,28.114,28.149,35
28.316,28.333,17,28.316,28.35,34
28.509,28.527,18,28.509,28.546,37
28.752,28.777,25,28.752,28.8,48
28.967,28.987,20,28.968,29.02,52
29.204,29.229,25,29.205,29.246,41
29.434,29.454,20,29.434,29.472,38
29.668,29.694,26,29.668,29.716,48
29.911,29.929,18,29.912,29.945,33
30.117,30.141,24,30.118,30.17,52
30.357,30.384,27,30.365,30.41,45
30.617,30.642,25,30.618,30.659,41
30.85,30.876,26,30.85,30.894,44
31.081,31.107,26,31.081,31.127,46
31.304,31.323,19,31.304,31.349,45
31.522,31.542,20,31.522,31.556,34
31.732,31.748,16,31.732,31.766,34
31.937,31.959,22,31.937,31.987,50
32.192,32.211,19,32.193,32.229,36
32.42,32.451,31,32.42,32.468,48
32.66,32.686,26,32.661,32.707,46
32.879,32.899,20,32.88,32.919,39
33.093,33.114,21,33.094,33.134,40
33.286,33.325,39,33.289,33.306,17
33.51,33.526,16,33.511,33.543,32
33.723,33.744,21,33.724,33.759,35
33.962,33.985,23,33.962,34.002,40
34.222,34.245,23,34.223,34.267,44
34.431,34.453,22,34.432,34.471,39
34.636,34.656,20,34.636,34.672,36
34.889,34.908,19,34.889,34.928,39
35.099,35.117,18,35.1,35.141,41
35.375,35.407,32,35.378,35.423,45
35.594,35.619,25,35.596,35.633,37
35.798,35.82,22,35.8,35.839,39
35.996,36.014,18,35.997,36.032,35
36.242,36.261,19,36.243,36.28,37
36.49,36.516,26,36.491,36.531,40
36.744,36.767,23,36.744,36.782,38
36.95,36.974,24,36.951,36.99,39
37.151,37.172,21,37.151,37.199,48
37.394,37.419,25,37.395,37.443,48
37.618,37.637,19,37.619,37.655,36
37.813,37.834,21,37.816,37.855,39
38.065,38.085,20,38.066,38.106,40
38.288,38.308,20,38.288,38.328,40
38.515,38.533,18,38.516,38.55,34
38.723,38.744,21,38.724,38.762,38
38.932,38.95,18,38.932,38.966,34
39.134,39.153,19,39.134,39.173,39
39.361,39.381,20,39.361,39.403,42
39.607,39.629,22,39.607,39.648,41
39.841,39.866,25,39.841,39.89,49
40.083,40.106,23,40.084,40.133,49
